评论者id,评论者昵称,评论内容,评论发表时间,点赞数
246160734,二二二二二二二丁,抢不到五月天的演唱会门票，打算5.20去太原听乌梅子酱了,2023:05:09 17:13:07,0
1366711255,脱胎换骨LRH,告吧,2023:05:09 16:37:40,0
8486614000,时洢-想看浪漫邂逅,不做玫瑰 做你心上的野草 吹不尽 春又生,2023:05:09 16:34:27,0
1675775669,独狐求寂,一切皆有定数,2023:05:09 16:31:10,0
608417409,_东亰苡东1710,大家都很正常的评论，就你像被踩了尾巴的🐶,2023:05:09 15:46:23,0
1293176083,痛苦的好人,精神胜利大法✌🏻️,2023:05:09 15:44:43,0
1668672027,老茶馆与猫,老李头，结婚后净搞这些甜甜的歌,2023:05:09 14:12:01,0
4899731805,哎呦小茉莉的歌单,我好喜欢,2023:05:09 14:05:31,0
1977752871,盛夏樱雨,@Han0430fyyyyh 哈哈哈哈哈哈哈,2023:05:09 13:08:10,0
340443079,Lwoskx,坚持住呀，一定能考上的[小红花],2023:05:09 12:44:20,0
8027009247,Lx-蔡蔡,如果事与愿违，请一定相信是上天另有安排,2023:05:09 12:33:20,0
1846540320,无名来打,谢谢你的建议，我试试🤗,2023:05:09 10:32:07,0
1891096556,單城府丶190623,签到了,2023:05:09 10:20:51,0
1891096556,單城府丶190623,打卡,2023:05:09 10:20:24,0
1319908139,浩先森呐-,谢谢你 陌生人,2023:05:09 09:51:25,0
504395579,真香_MhY7,加油，不要焦虑，最后一个月一切皆有可能,2023:05:09 09:38:21,0
1860585857,SQQQ_0512,好听,2023:05:09 09:24:26,0
1319908139,浩先森呐-,"还有29天高考 四质检分数327,数学题真的好难 英语作文也不会 我该怎么办 好焦虑",2023:05:09 08:30:17,0
3327931131,蓝色小恶魔_EsEG,666,2023:05:09 05:34:57,0
3327931131,蓝色小恶魔_EsEG,为什么一首歌就败笔，还有很多歌值得去听，放松心情,2023:05:09 05:34:47,0
3327931131,蓝色小恶魔_EsEG,我也是说,2023:05:09 05:33:47,0
3327931131,蓝色小恶魔_EsEG,我觉得一般吧，就是高音部分不好唱,2023:05:09 05:33:06,0
3327931131,蓝色小恶魔_EsEG,可以这么说,2023:05:09 05:32:36,0
3327931131,蓝色小恶魔_EsEG,阿巴阿巴,2023:05:09 05:32:10,0
3327931131,蓝色小恶魔_EsEG,确实是，我觉得之前很多歌很经听的说,2023:05:09 05:31:17,0
3327931131,蓝色小恶魔_EsEG,哈哈哈你问谁,2023:05:09 05:30:40,0
124904317,XFcoool,这破歌怎么火的,2023:05:09 02:24:38,0
3875969955,孤独的六便士丶,乌梅子酱确实好听上头 但是不经听啊,2023:05:09 01:56:55,1
128708800,我的影子你的阳光,多少沾点,2023:05:09 01:55:29,0
1301782239,墨本海人,真能扯,2023:05:09 00:52:59,2
3293793755,怡宝superstar,"→                                    ←,两手指向中间滑   你会发现神奇的一幕",2023:05:09 00:46:39,0
8544426764,妮妮_GqqA,.com真心找个男朋友dd,2023:05:08 23:50:23,0
5208170058,yayesunmi,你怎么不回我？[怒],2023:05:08 23:30:55,0
265057701,小小恐龙大白牙,要骗我抱抱[鬼脸],2023:05:08 22:17:46,0
82108513,小山猪zzz,喜欢小羊宝宝 这首歌歌词就是描述的就是你呀🦆！,2023:05:08 21:27:20,0
8544441904,妮妮_3ZiM,》真心找个男朋友dd,2023:05:08 21:03:21,0
246450290,beautiful_lifee,不懂音乐[吐舌],2023:05:08 20:53:11,0
1410156655,瑾花陌上,胡言乱语,2023:05:08 20:48:01,0
8544407085,妮妮_3nNw,...真心找个男朋友dd,2023:05:08 20:39:29,1
1992076227,俺叫铁柱呢,人这一辈子千万不要马虎两件事，一是找对妻子，二是找对事业，太阳升起时要投身事业，太阳落山时要与爱人相拥的。我们终其一生，都在寻找两件事，一是价值感，二是归属感，价值感来源于肯定，归属感来源于被爱！,2023:05:08 20:12:21,3
6470609654,记住零二,天气预报不准的 你的态度才是我世界里的天气,2023:05:08 19:44:36,0
1891096556,單城府丶190623,和弦撞了几个，旋律天差地别,2023:05:08 19:33:55,0
1891096556,單城府丶190623,和弦撞了几个而已,2023:05:08 19:33:15,0
1891096556,單城府丶190623,麻雀不是好歌曲吗？,2023:05:08 19:11:40,0
1891096556,單城府丶190623,做人要厚道，麻雀是不是经典？,2023:05:08 19:10:26,0
1891096556,單城府丶190623,几个合和弦撞了有必要这样污蔑吗？,2023:05:08 19:10:04,1
1891096556,單城府丶190623,晚上好🌇,2023:05:08 19:07:16,0
1324390793,曙光与黎明i,世界上没有真正的合适,2023:05:08 18:58:27,0
1324390793,曙光与黎明i,只要你真诚，不是为别的，那喜欢就去追。,2023:05:08 18:58:03,0
1293176083,痛苦的好人,抄袭杰伦的浪漫手机和花海,2023:05:08 18:41:33,0
8551230572,魚的记忆__Dwul,骂我干什么 我有什么错 只不过是帅的过分,2023:05:08 18:19:09,0
537507875,Cecilia-Zhao,你快回来找我吧！我们就可以再一次一人一只耳机在吃完烧烤后一起大声唱出那句“我好喜欢”啦！我真的忍不住想找你呀。,2023:05:08 17:10:01,0
434408517,可热爱曾是唯一的信仰_,评论区里找头像,2023:05:08 16:27:01,0
1830138406,淮山佛卿,考省外的学校啊,2023:05:08 14:46:50,0
1846540320,无名来打,我已经23了，她是零五，是不是不合适啊[流泪],2023:05:08 14:10:27,0
1873919530,画家与狗_GCYC,烂哥,2023:05:08 13:19:58,0
6388145866,云村村民164188648773528,"把左手                                     把右手,大拇指        → 往这划  ←       大拇指,放这里                                     放这里",2023:05:08 13:00:57,1
1950900103,Ppppp_0,谢谢！！,2023:05:08 12:57:21,0
509815854,眉眼依旧亦故人,……李荣浩你是不是被夺舍了,2023:05:08 12:18:35,1
1466848033,啦看够了,他哪一步不是模仿周杰伦？自己是谁都忘了，一个倒影,2023:05:08 11:20:30,0
8529566931,战胜奥特曼的无敌浩克,真的哎[多多大笑],2023:05:08 11:05:00,0
1376919039,你看我想你嘛,见你的时候 心情都是甜甜的,2023:05:08 10:36:35,0
1620537102,你的猫宝,我觉得这歌蛮好听呀，只是抖音用的太频繁了，我觉得也没有水。[开心],2023:05:08 10:20:09,1
1297636700,张杰的呆毛丶,"→                                    ←,两手指向中间滑   你会发现神奇的一幕",2023:05:08 09:32:22,3
8551724346,妮妮_qxiB,.com真心找个男朋友dd,2023:05:08 09:19:06,0
327614436,长桥桥长,恭喜恭喜！,2023:05:08 08:22:32,0
501662408,the8_0119,[色][色][色],2023:05:08 07:21:54,0
3531053391,尤里卡-official,qq搜不到啊,2023:05:08 02:36:18,0
1603522309,别靠近我好吧,救命  你别太代入了好吧  是感情不顺吗,2023:05:08 02:33:51,0
8551450534,妮妮_dWkD,＃真心找个男朋友dd,2023:05:08 02:09:57,0
580768230,易辞啦,想去看海，想和你一起？有点可惜,2023:05:08 01:39:26,0
4874872475,怡一_Z,29天[强],2023:05:08 00:25:26,0
1738289548,usitu,所以这歌不吉利哈？,2023:05:08 00:25:21,0
1738289548,usitu,我觉得我也可以，试试吧,2023:05:08 00:24:24,0
1738289548,usitu,这歌好怪啊，难学,2023:05:08 00:23:00,0
480222546,馨儿want甜心,清新美好的这首小情歌，甜甜的气息充满着屏幕，让人陷入美好。,2023:05:07 23:59:43,0
330981080,沉梦挽秋丶,女👊🏻警告一次,2023:05:07 23:48:09,0
2059534224,漫夜在听Jay,小猫咪内心充盈着快乐也幸福 你也是,2023:05:07 23:42:30,0
1419646339,幸运的KKK,"把左手                                     把右手,大拇指        → 往这划  ←       大拇指,放这里                                     放这里",2023:05:07 23:11:43,0
2141025507,-v8le,"把左手                                     把右手,大拇指        → 往这划  ←       大拇指,放这里                                     放这里",2023:05:07 22:46:00,1
1974784256,妍Augenstern,听到了这首歌就想起悦悦甜美的笑容，奶爸唱的酸梅子酱[吐舌][吐舌][吐舌][爱心][爱心][爱心],2023:05:07 22:36:15,1
8235894623,Atopos--J,我真的恶心透了现在的恋爱观，从最早的男孩子只吃蛋挞边和草莓屁股，为了什么狗屁仪式感，一味的索取。到后来的恋爱，把星座看的比什么都重要，再到现在的一年四季的第一杯奶茶。所有人都在教男孩子怎么付出，却没有人教女孩子该怎么好好爱男孩子,2023:05:07 22:01:41,10
7874573632,Rooted-Beast,6,2023:05:07 20:16:46,0
7874573632,Rooted-Beast,哥，还有31天，[流泪]一起加油吧，我也是高三牲,2023:05:07 20:16:22,0
